nombre	apellidos	ciudad	sueldo
"Galo Palomares Martorell"	"Madrid"	"Granada"	3630
"Valentín Sierra Sandoval"	"Palmer"	"Vizcaya"	3112
"Anastasia Baquero Páez"	"Martí"	"Guipúzcoa"	5172
"Mariana del Bermúdez"	"Ariza"	"Granada"	2571
"Jordi del Diéguez"	"Bello"	"Palencia"	3953
"Prudencia Lloret Martinez"	"Pons"	"La Rioja"	2496
"Hilda Estrada Uribe"	"Bello"	"Cáceres"	3124
"Prudencia Roma"	"Palacio"	"Tarragona"	5768
"Teresita Rios"	"Jordá"	"Zamora"	1114
"Ámbar Mesa Cornejo"	"Carranza"	"Huelva"	2055
"Chucho Aroca Diaz"	"Arévalo"	"Murcia"	3065
"Álvaro Alcántara Múñiz"	"Neira"	"Teruel"	2876
"Gerardo Arribas"	"Iñiguez"	"Guipúzcoa"	2000
"Rocío Peña Benet"	"Pellicer"	"Melilla"	2444
"Isaías Barberá Sainz"	"Vargas"	"Castellón"	5008
"Mónica Portillo-Mesa"	"Jiménez"	"Cáceres"	5049
"Rosa Baeza-Gutiérrez"	"Guitart"	"Ceuta"	2479
"Cintia Atienza"	"Guitart"	"Ciudad"	4863
"Quirino Lillo Barrena"	"Céspedes"	"Granada"	3642
"Anunciación Rozas Blanch"	"Español"	"Barcelona"	4643
"Filomena Herminia Portillo Santamaría"	"Llanos"	"Ourense"	1329
"Matilde Solera"	"Arce"	"Cáceres"	3736
"Alex de Nogués"	"Hoyos"	"Las Palmas"	1488
"Araceli Roxana Barreda Quiroga"	"Roldán"	"Girona"	4700
"Marcial Borja Aznar Gargallo"	"Zapata"	"Toledo"	3064
"Plinio Bello Barrera"	"Pavón"	"Huesca"	3518
"Cleto Trujillo Gomis"	"Vives"	"Baleares"	5907
"Danilo del Santana"	"Lopez"	"Ceuta"	1021
"Odalis del Porras"	"Verdugo"	"Toledo"	4718
"Roque Roselló Miranda"	"Falcó"	"Albacete"	1030
"Chita Salom Valencia"	"Azcona"	"Valladolid"	3998
"Francisco Javier Casanovas García"	"Olivares"	"Barcelona"	5929
"Jose Angel Menendez Santana"	"Millán"	"Albacete"	3838
"Mirta Emma Olivé Lladó"	"Cobo"	"Barcelona"	3097
"Cayetano Plaza Cepeda"	"Bayón"	"Zaragoza"	1702
"Zaira Barba Nadal"	"Portillo"	"Zamora"	3039
"Selena Cal Sevillano"	"Madrid"	"Palencia"	4082
"Isabela Peláez Vilalta"	"Arias"	"Valladolid"	3076
"Hernando de Catalán"	"Arana"	"Melilla"	2984
"Luis Miguel Rivero Rey"	"Conde"	"Burgos"	4926
"Severiano Velasco Santamaría"	"Corbacho"	"Zamora"	3778
"Flavio del Rivas"	"Amor"	"Asturias"	2169
"Godofredo Galán Catalá"	"Galiano"	"Baleares"	3689
"Jerónimo Abellán Ropero"	"Rosales"	"La Rioja"	3971
"Fabricio Zabala Pedraza"	"Perelló"	"Tarragona"	5983
"Lara Carnero Merino"	"Sierra"	"Palencia"	5898
"Teófila Ramona Bauzà Piña"	"Cepeda"	"Ourense"	3995
"Carlito Falcó"	"Salamanca"	"Guadalajara"	4160
"Gerardo Cabo-Peláez"	"Mendoza"	"Salamanca"	2164
"Máximo Ferrández Busquets"	"Carpio"	"Madrid"	1568
"Cristian Leon-Portero"	"Zamorano"	"Palencia"	5208
"Mario Gregorio Iriarte Pineda"	"Salvà"	"Segovia"	2782
"Flor Delgado Canet"	"Ochoa"	"Álava"	2465
"Severiano Miranda Montoya"	"Pardo"	"Navarra"	3601
"Luciano José Manuel Navas Barbero"	"Zurita"	"Tarragona"	3711
"Martin Pou Vaquero"	"Ayala"	"Las Palmas"	1632
"Azahara del Hernández"	"Gascón"	"Vizcaya"	2667
"Íngrid Fidela Batalla Macias"	"Blanco"	"Albacete"	2194
"Aníbal Asensio Noriega"	"Arteaga"	"Ciudad"	4028
"Jose Luis del Carbonell"	"Salamanca"	"La Coruña"	1928
"Manuelita Cañete Riba"	"Colomer"	"Zamora"	1310
"Saturnina de Amat"	"Soler"	"Álava"	3462
"Martina Bermúdez Cortina"	"Pomares"	"Baleares"	3829
"Eric Lino Saldaña Flores"	"Ruiz"	"Cádiz"	2726
"Natividad Estévez"	"Mena"	"Navarra"	5894
"Odalis Tello"	"Montenegro"	"Huelva"	1920
"Débora Goicoechea-Aguiló"	"Rojas"	"Las Palmas"	3835
"Ángela Fátima Berrocal Sales"	"Cabello"	"Baleares"	5148
"Aura Solano Fabra"	"Armas"	"Soria"	1863
"Leocadia Múgica-Palomino"	"Landa"	"Huesca"	3793
"Jovita Huguet Bermúdez"	"Nicolau"	"Murcia"	4997
"Virginia Valderrama"	"Toro"	"La Rioja"	2011
"Trini Correa"	"Serra"	"Toledo"	3759
"Pía Larrañaga Cabo"	"Blanch"	"Salamanca"	2989
"Olivia Leon Cueto"	"Costa"	"Almería"	2203
"Teresita del Galiano"	"Alonso"	"Cádiz"	1272
